,id,idPage,name,message,picture,link,created_time,status_type,reactions_count,likes_count,comments_count,topics_l2,topics_l3,keyword:topic_l2,keyword:topic_l3
11,176688316811_10152924772491812,176688316811,Vodafone CZ,Máte rádi rychlou jízdu? Roztočte to díky LTE a dárku neomezených dat se Samsung GALAXY Express 2 za super cenu. Více na http://tam.je/samsung-express2.,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/10411769_10152924754991812_5041585099639635513_n.jpg?oh=336646f57f72816d032d74cdeb31609b&oe=57F3F0F4,https://www.facebook.com/vodafoneCZ/photos/a.202414481811.133181.176688316811/10152924754991812/?type=3,2014-11-27T16:43:00+0000,added_photos,48,48,10,etika|ekonomie|jezdectví|armáda|historické_vojenské_jednotky,humanitní_a_společenské_vědy|ekonomie|21._století,"dárek:etika|cena:ekonomie|jízda:jezdectví,armáda,historické_vojenské_jednotky","dárek:humanitní_a_společenské_vědy|cena:humanitní_a_společenské_vědy,ekonomie|super:21._století"
12,176688316811_10152933508631812,176688316811,Vodafone CZ,"Chcete ovlivnit zimní vzhled mobilní aplikace Můj Vodafone? Hlasujte pro obrázek, který byste chtěli na úvodní stránce. Fotku s největším počtem vašich hlasů pak najdete v příští aktualizaci aplikace.",https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/14407_10152933507851812_2463736658265520285_n.jpg?oh=8600b61195591b148e2215e69d55268f&oe=57F5FF33,https://www.facebook.com/vodafoneCZ/photos/a.202414481811.133181.176688316811/10152933507851812/?type=3,2014-12-01T08:37:48+0000,added_photos,91,91,159,akustika|datové_nosiče|optika|fotografie|technologie|umění|aplikované_vědy|fotogrammetrie,aplikované_vědy|akustika|fotografie|technologie|datové_nosiče,"hlas:akustika|fotka:datové_nosiče,optika,fotografie,technologie,umění,aplikované_vědy,fotogrammetrie","hlas:aplikované_vědy,akustika|fotka:aplikované_vědy,fotografie,technologie,datové_nosiče|mobilní_aplikace:technologie"
13,176688316811_10152935593141812,176688316811,Vodafone CZ,"V současné době zaznamenáváme potíže s napájením elektrickou energií způsobené špatným počasím především v oblasti Moravy a v některých oblastech středních Čech. Situace se ale velmi rychle mění, a to především v regionech na Moravě. Naše vysílače mají záložní zdroje, které jim umožňují určitou dobu fungovat bez přívodu elektřiny. Během této doby se technici snaží zprovoznit dieselové generátory. Věříme, že energetikům se bude postupně dařit obnovovat přívod elektrické energie a brzy budete mít naše služby k dispozici.",,,2014-12-02T07:30:04+0000,mobile_status_update,44,44,36,administrativní_dělení_podle_zemí|části_států,části_států|administrativní_dělení_podle_zemí,"region:části_států|oblast:administrativní_dělení_podle_zemí,administrativní_dělení_podle_zemí,části_států,části_států","region:části_států|oblast:části_států,části_států,administrativní_dělení_podle_zemí,administrativní_dělení_podle_zemí|morava:části_států,části_států,administrativní_dělení_podle_zemí,administrativní_dělení_podle_zemí"
14,176688316811_10152941091611812,176688316811,Vodafone CZ,"A teď pro vás máme něco, co v televizi neuvidíte. Podívejte se, jak jsme s Tomášem natáčeli.",https://external.xx.fbcdn.net/safe_image.php?d=AQCbZ24XGTe7Y5xq&w=130&h=130&url=http%3A%2F%2Fi.ytimg.com%2Fvi%2F06qcBfzumOM%2Fhqdefault.jpg&cfs=1&sx=120&sy=0&sw=360&sh=360,https://www.youtube.com/watch?v=06qcBfzumOM,2014-12-04T18:31:50+0000,shared_story,50,50,15,dorozumívání|sdělovací_prostředky|fyzikální_veličiny|mužská_jména|inženýrské_sítě|jména_aramejského_původu|tur|tuři|zvuk|služby|stupeň_ohrožení|technika|čas|audiotechnika|rodná_jména|zranitelné_druhy|portál_televize|muž|jména_podle_původu|zábava_a_volný_čas|společenské_instituce|hudební_technika|telekomunikace|žurnalistika,dorozumívání|společnost,"tomáš:mužská_jména,jména_aramejského_původu,rodná_jména,muž,jména_podle_původu|televize:dorozumívání,sdělovací_prostředky,inženýrské_sítě,zvuk,služby,technika,audiotechnika,portál_televize,zábava_a_volný_čas,společenské_instituce,hudební_technika,telekomunikace,žurnalistika|jak:tur,tuři,stupeň_ohrožení,zranitelné_druhy|teď:fyzikální_veličiny,čas","televize:dorozumívání,společnost"
15,176688316811_10152945300756812,176688316811,Vodafone CZ,Rozbalte si dárek a surfujte s námi bez omezení. Našim zákazníkům s tarifem i předplacenou kartou teď nadělujeme Data nad rámec balíčku až do 15. ledna 2015 zdarma. http://tam.je/volnajizda,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/10354743_10152945298771812_2563949664415247913_n.png?oh=83b82251155f7ac178bfc7c70cd44fdd&oe=57F68007,https://www.facebook.com/vodafoneCZ/photos/a.10150704550061812.428351.176688316811/10152945298771812/?type=3,2014-12-06T03:25:00+0000,added_photos,42,42,17,kalendář|ekonomie|marketing,čas|ekonomie|kalendář,"15._ledna:kalendář|tarif:ekonomie,marketing|zákazník:ekonomie,marketing|leden:kalendář|datum:kalendář","15._ledna:čas,kalendář|tarif:ekonomie|leden:čas,kalendář|teď:čas|2015:kalendář|zákazník:ekonomie|datum:čas,kalendář"
16,176688316811_10152953844606812,176688316811,Vodafone CZ,"Celý rok jsme tvrdě pracovali na pokrytí naším Turbo Internetem, které je teď nejen největší, ale i nejrychlejší. Potvrzuje to jak ČTÚ na http://lte.ctu.cz/pokryti/, tak i vy svými měřeními na DSL.cz - moc děkujeme :-). Až do poloviny ledna navíc můžete surfovat bez ohledu na velikost vašeho datového balíčku, tak si to pořádně užijte! #TurboInternet",https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/10410683_10152953825986812_3773478511387809439_n.jpg?oh=a509e04e5ab66aee45aff46953a9e5d0&oe=57F4247F,https://www.facebook.com/vodafoneCZ/photos/a.202414481811.133181.176688316811/10152953825986812/?type=3,2014-12-09T13:13:55+0000,added_photos,335,335,142,thajské_provincie|části_států_nejvyšší_úrovně|politická_sociologie|telekomunikace|počítačové_sítě|administrativní_dělení_thajska|dorozumívání|čas|provincie|aplikované_vědy,společnost|dorozumívání|čas|části_států|politologie,"čtú:telekomunikace,dorozumívání|rok:čas|internet:telekomunikace,počítačové_sítě,dorozumívání|moc:politická_sociologie|měření:aplikované_vědy|teď:čas|tak:thajské_provincie,thajské_provincie,části_států_nejvyšší_úrovně,části_států_nejvyšší_úrovně,administrativní_dělení_thajska,administrativní_dělení_thajska,provincie,provincie","čtú:společnost,dorozumívání|rok:čas|teď:čas|moc:společnost,politologie|leden:čas|internet:společnost,dorozumívání|tak:části_států,části_států"
17,176688316811_10152961661536812,176688316811,Vodafone CZ,"Máme pro vás dárek - 100 bodů do Vodafone galerie. Stačí, když se v prosinci a lednu přihlásíte aspoň jednou do aplikace Můj Vodafone a body jsou vaše. A jestli ještě aplikaci nemáte, stáhněte si ji na www.vodafone.cz/app.

A co všechno Vodafone galerie nabízí? Podívejte se na adrese http://tam.je/galerie. Body vám připíšeme do 9. února 2015.",https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/1004557_10152961658526812_5111162131167979486_n.png?oh=91cc4f65b3fa887aad5d6f21e2d8cca8&oe=5835053D,https://www.facebook.com/vodafoneCZ/photos/a.202414481811.133181.176688316811/10152961658526812/?type=3,2014-12-12T13:27:10+0000,added_photos,41,41,9,geometrie|kalendář|kalendářní_měsíce|zima,kalendář|čas,"únor:kalendář,kalendářní_měsíce,zima|leden:kalendář,kalendářní_měsíce,zima|bod:geometrie,geometrie,geometrie|prosinec:kalendář,kalendářní_měsíce,zima|9._února:kalendář,kalendářní_měsíce,zima","leden:kalendář,čas|9._února:kalendář,čas|2015:kalendář|100:kalendář|únor:kalendář,čas|prosinec:kalendář,čas"
18,176688316811_10152967222256812,176688316811,Vodafone CZ,Inspirace k balení dárků :),https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/10410217_10152966940791812_6970003022008618245_n.jpg?oh=aa0d3197eb3523fa9f82796ee48ffc1f&oe=5832D081,https://www.facebook.com/vodafoneCZ/photos/a.202414481811.133181.176688316811/10152966940791812/?type=3,2014-12-14T19:10:01+0000,added_photos,719,719,17,etika|estetika|dárcovství|teologie|humanitní_a_společenské_vědy|filosofické_disciplíny|obrazové_kompozice|umění|filantropie|právní_pojmy|filosofické_pojmy|teologické_pojmy|vnímání|občanské_právo|etické_pojmy|právní_věda|antropologické_pojmy|dobrovolnictví|sociální_etika|sociální_filosofie|soukromé_právo|antropologie|filosofie|zahradní_architektura,humanitní_a_společenské_vědy|filosofické_disciplíny,"dárek:etika,dárcovství,filantropie,právní_pojmy,občanské_právo,etické_pojmy,právní_věda,antropologické_pojmy,dobrovolnictví,sociální_etika,sociální_filosofie,soukromé_právo,antropologie|inspirace:estetika,teologie,humanitní_a_společenské_vědy,filosofické_disciplíny,obrazové_kompozice,umění,filosofické_pojmy,teologické_pojmy,vnímání,filosofie,zahradní_architektura","dárek:humanitní_a_společenské_vědy,filosofické_disciplíny|inspirace:humanitní_a_společenské_vědy,filosofické_disciplíny"
19,176688316811_10152971541681812,176688316811,Vodafone CZ,Najde se minimálně 20 důvodů proč je skvělé pracovat v call centru. Chcete to zkusit v tom našem? Právě hledáme anglicky mluvící operátory do Chrudimi. Více na www.tam.je/operator.,https://external.xx.fbcdn.net/safe_image.php?d=AQBXfIsKoN7WzT_T&w=130&h=130&url=http%3A%2F%2Fcilichili.cz%2Fwp-content%2Fuploads%2F2014%2F12%2Ftitle-20-duvodu-proc-je-skvele-pracovat-v-call-centru-1280x852.jpg&cfs=1,http://cilichili.cz/blog/25-duvodu-proc-je-skvele-pracovat-v-call-centru/,2014-12-16T14:14:29+0000,shared_story,40,40,3,jazyky_podle_zemí|jazyky_podle_kontinentů,jazyky|jazyky_podle_zemí,"anglicky:jazyky_podle_zemí,jazyky_podle_kontinentů","anglicky:jazyky,jazyky_podle_zemí"
20,176688316811_10152973132981812,176688316811,Vodafone CZ,"Každý z nás je něčím jedinečný – jeden stylem oblékání, druhý třeba hudbou, kterou poslouchá. Ukažte nám, kdo doopravdy jste. Vyfoťte věci, které vás obklopují a vytváří tak vaši osobnost. 

Fotku vložte do 20. 12. do 23:59 jako komentář pod tento příspěvek. Tu nejoriginálnější oceníme jedinečným telefonem Lumia 830. Inspirujte se na www.vodafone.cz/windows-phone

Kompletní pravidla soutěže www.tam.je/pravidla-kazdy-je-jedinecny",https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/10850191_10152971845936812_1488718580493311098_n.jpg?oh=734db4e480675799900b2e3dd8dfea97&oe=57EAA5E5,https://www.facebook.com/vodafoneCZ/photos/a.202414481811.133181.176688316811/10152971845936812/?type=3,2014-12-17T08:15:01+0000,added_photos,86,86,21,umění|soupeření|optika|fotografie|zábava_a_volný_čas|fotogrammetrie|kultura|psychologie|zahradní_architektura|humanitní_a_společenské_vědy|datové_nosiče|soutěže|technologie|aplikované_vědy,umění|aplikované_vědy,"soutěž:soupeření,zábava_a_volný_čas,humanitní_a_společenské_vědy,soutěže|osobnost:psychologie,humanitní_a_společenské_vědy|fotka:umění,optika,fotografie,fotogrammetrie,kultura,zahradní_architektura,datové_nosiče,technologie,aplikované_vědy|hudba:umění,zábava_a_volný_čas,kultura,zahradní_architektura","komentář:umění|fotka:umění,aplikované_vědy|hudba:umění,aplikované_vědy"
